Year,Almagre Mountain B index,Mesa Verde Douglas Fir index
1246,1228.0,684.0
1247,976.0,1082.0
1248,863.0,1687.0
1249,1045.0,1498.0
1250,951.0,1002.0
1251,933.0,927.0
1252,988.0,1082.0
1253,1134.0,1489.0
1254,867.0,137.0
1255,1010.0,1216.0
1256,1007.0,1120.0
1257,848.0,1169.0
1258,285.0,728.0
1259,810.0,1117.0
1260,1029.0,756.0
1261,973.0,1020.0
1262,914.0,1461.0
1263,936.0,527.0
1264,947.0,1144.0
1265,996.0,1410.0
1266,821.0,924.0
1267,1205.0,1204.0
1268,1006.0,1155.0
1269,1199.0,1709.0
1270,1278.0,1225.0
1271,1231.0,1820.0
1272,1091.0,1375.0
1273,991.0,634.0
1274,883.0,669.0
1275,1124.0,1057.0
1276,1070.0,539.0
1277,1062.0,631.0
1278,873.0,372.0
1279,911.0,726.0
1280,743.0,393.0
1281,911.0,806.0
1282,1123.0,804.0
1283,1077.0,421.0
1284,843.0,691.0
1285,949.0,608.0
1286,1056.0,890.0
1287,838.0,738.0
1288,776.0,569.0
1289,714.0,1054.0
1290,946.0,1444.0
1291,707.0,1057.0
1292,875.0,734.0
1293,803.0,937.0
1294,601.0,1035.0
1295,795.0,279.0
1296,836.0,757.0
1297,540.0,961.0
1298,819.0,1236.0
1299,825.0,672.0
1300,824.0,916.0
1301,1140.0,1412.0
1302,885.0,1506.0
1303,956.0,1463.0
1304,752.0,1062.0
1305,916.0,2064.0
1306,939.0,1051.0
1307,762.0,623.0
1308,928.0,601.0
1309,867.0,1787.0
1310,1075.0,1522.0
1311,1036.0,1290.0
1312,1108.0,1728.0
1313,1109.0,2193.0
1314,1181.0,1067.0
1315,1054.0,1331.0
1316,1141.0,106.0
1317,1182.0,872.0
1318,1066.0,959.0
1319,1027.0,1406.0
1320,469.0,1368.0
1321,547.0,1519.0
1322,621.0,1023.0
1323,598.0,981.0
1324,782.0,844.0
1325,945.0,1994.0
1326,838.0,1491.0
1327,775.0,1316.0
1328,623.0,1039.0
1329,799.0,969.0
1330,726.0,1535.0
1331,830.0,1351.0
1332,865.0,1545.0
1333,785.0,1962.0
1334,883.0,2174.0
1335,615.0,1098.0
1336,531.0,1717.0
1337,707.0,1858.0
1338,669.0,490.0
1339,834.0,1266.0
1340,762.0,726.0
1341,758.0,971.0
1342,679.0,918.0
1343,770.0,984.0
1344,814.0,804.0
1345,872.0,1064.0
1346,816.0,836.0
1347,847.0,610.0
1348,837.0,893.0
1349,778.0,1080.0
1350,835.0,503.0
1351,817.0,439.0
